Series,Episode,Code,Type,Group,Description,Second Description,Seat 1 points,Seat 2 Points,Seat 3 Points,Seat 4 Points,Seat 4 Points,Tags,Youtube Link
1,1,P,Prize,no,,,,,,,,,
1,1,M1,Main,no,,,,,,,,,
1,1,M2,Main,no,,,,,,,,,
1,1,M3,Main,no,,,,,,,,,
1,1,F,Final,no,,,,,,,,,
1,2,P,Prize,no,,,,,,,,,
1,2,M1,Main,no,,,,,,,,,
1,2,M2,Main,no,,,,,,,,,
1,2,M3,Main,no,,,,,,,,,
1,2,F,Final,no,,,,,,,,,
1,3,P,Prize,no,,,,,,,,,
1,3,M1,Main,no,,,,,,,,,
1,3,M2,Main,no,,,,,,,,,
1,3,M3,Main,no,,,,,,,,,
1,3,F,Final,no,,,,,,,,,
1,4,P,Prize,no,,,,,,,,,
1,4,M1,Main,no,,,,,,,,,
1,4,M2,Main,no,,,,,,,,,
1,4,M3,Main,no,,,,,,,,,
1,4,F,Final,no,,,,,,,,,
1,5,P,Prize,no,,,,,,,,,
1,5,M1,Main,no,,,,,,,,,
1,5,M2,Main,no,,,,,,,,,
1,5,M3,Main,no,,,,,,,,,
1,5,F,Final,no,,,,,,,,,
1,6,P,Prize,no,,,,,,,,,
1,6,M1,Main,no,,,,,,,,,
1,6,M2,Main,no,,,,,,,,,
1,6,M3,Main,no,,,,,,,,,
1,6,F,Final,no,,,,,,,,,
2,1,P,Prize,no,,,,,,,,,
2,1,M1,Main,no,,,,,,,,,
2,1,M2,Main,no,,,,,,,,,
2,1,M3,Main,no,,,,,,,,,
2,1,F,Final,no,,,,,,,,,
2,2,P,Prize,no,,,,,,,,,
2,2,M1,Main,no,,,,,,,,,
2,2,M2,Main,no,,,,,,,,,
2,2,M3,Main,no,,,,,,,,,
2,2,F,Final,no,,,,,,,,,
2,3,P,Prize,no,,,,,,,,,
2,3,M1,Main,no,,,,,,,,,
2,3,M2,Main,no,,,,,,,,,
2,3,M3,Main,no,,,,,,,,,
2,3,F,Final,no,,,,,,,,,
2,4,P,Prize,no,,,,,,,,,
2,4,M1,Main,no,,,,,,,,,
2,4,M2,Main,no,,,,,,,,,
2,4,M3,Main,no,,,,,,,,,
2,4,F,Final,no,,,,,,,,,
2,5,P,Prize,no,,,,,,,,,
2,5,M1,Main,no,,,,,,,,,
2,5,M2,Main,no,,,,,,,,,
2,5,M3,Main,no,,,,,,,,,
2,5,F,Final,no,,,,,,,,,
3,1,P,Prize,no,,,,,,,,,
3,1,M1,Main,no,,,,,,,,,
3,1,M2,Main,no,,,,,,,,,
3,1,M3,Main,no,,,,,,,,,
3,1,F,Final,no,,,,,,,,,
3,2,P,Prize,no,,,,,,,,,
3,2,M1,Main,no,,,,,,,,,
3,2,M2,Main,no,,,,,,,,,
3,2,M3,Main,no,,,,,,,,,
3,2,F,Final,no,,,,,,,,,
3,3,P,Prize,no,,,,,,,,,
3,3,M1,Main,no,,,,,,,,,
3,3,M2,Main,no,,,,,,,,,
3,3,M3,Main,no,,,,,,,,,
3,3,F,Final,no,,,,,,,,,
3,4,P,Prize,no,,,,,,,,,
3,4,M1,Main,no,,,,,,,,,
3,4,M2,Main,no,,,,,,,,,
3,4,M3,Main,no,,,,,,,,,
3,4,F,Final,no,,,,,,,,,
3,5,P,Prize,no,,,,,,,,,
3,5,M1,Main,no,,,,,,,,,
3,5,M2,Main,no,,,,,,,,,
3,5,M3,Main,no,,,,,,,,,
3,5,F,Final,no,,,,,,,,,
4,1,P,Prize,no,,,,,,,,,
4,1,M1,Main,no,,,,,,,,,
4,1,M2,Main,no,,,,,,,,,
4,1,M3,Main,no,,,,,,,,,
4,1,F,Final,no,,,,,,,,,
4,2,P,Prize,no,,,,,,,,,
4,2,M1,Main,no,,,,,,,,,
4,2,M2,Main,no,,,,,,,,,
4,2,M3,Main,no,,,,,,,,,
4,2,F,Final,no,,,,,,,,,
4,3,P,Prize,no,,,,,,,,,
4,3,M1,Main,no,,,,,,,,,
4,3,M2,Main,no,,,,,,,,,
4,3,M3,Main,no,,,,,,,,,
4,3,F,Final,no,,,,,,,,,
4,4,P,Prize,no,,,,,,,,,
4,4,M1,Main,no,,,,,,,,,
4,4,M2,Main,no,,,,,,,,,
4,4,M3,Main,no,,,,,,,,,
4,4,F,Final,no,,,,,,,,,
4,5,P,Prize,no,,,,,,,,,
4,5,M1,Main,no,,,,,,,,,
4,5,M2,Main,no,,,,,,,,,
4,5,M3,Main,no,,,,,,,,,
4,5,F,Final,no,,,,,,,,,
4,6,P,Prize,no,,,,,,,,,
4,6,M1,Main,no,,,,,,,,,
4,6,M2,Main,no,,,,,,,,,
4,6,M3,Main,no,,,,,,,,,
4,6,F,Final,no,,,,,,,,,
4,7,P,Prize,no,,,,,,,,,
4,7,M1,Main,no,,,,,,,,,
4,7,M2,Main,no,,,,,,,,,
4,7,M3,Main,no,,,,,,,,,
4,7,F,Final,no,,,,,,,,,
4,8,P,Prize,no,,,,,,,,,
4,8,M1,Main,no,,,,,,,,,
4,8,M2,Main,no,,,,,,,,,
4,8,M3,Main,no,,,,,,,,,
4,8,F,Final,no,,,,,,,,,
5,1,P,Prize,no,,,,,,,,,
5,1,M1,Main,no,,,,,,,,,
5,1,M2,Main,no,,,,,,,,,
5,1,M3,Main,no,,,,,,,,,
5,1,F,Final,no,,,,,,,,,
5,2,P,Prize,no,,,,,,,,,
5,2,M1,Main,no,,,,,,,,,
5,2,M2,Main,no,,,,,,,,,
5,2,M3,Main,no,,,,,,,,,
5,2,F,Final,no,,,,,,,,,
5,3,P,Prize,no,,,,,,,,,
5,3,M1,Main,no,,,,,,,,,
5,3,M2,Main,no,,,,,,,,,
5,3,M3,Main,no,,,,,,,,,
5,3,F,Final,no,,,,,,,,,
5,4,P,Prize,no,,,,,,,,,
5,4,M1,Main,no,,,,,,,,,
5,4,M2,Main,no,,,,,,,,,
5,4,M3,Main,no,,,,,,,,,
5,4,F,Final,no,,,,,,,,,
5,5,P,Prize,no,,,,,,,,,
5,5,M1,Main,no,,,,,,,,,
5,5,M2,Main,no,,,,,,,,,
5,5,M3,Main,no,,,,,,,,,
5,5,F,Final,no,,,,,,,,,
5,6,P,Prize,no,,,,,,,,,
5,6,M1,Main,no,,,,,,,,,
5,6,M2,Main,no,,,,,,,,,
5,6,M3,Main,no,,,,,,,,,
5,6,F,Final,no,,,,,,,,,
5,7,P,Prize,no,,,,,,,,,
5,7,M1,Main,no,,,,,,,,,
5,7,M2,Main,no,,,,,,,,,
5,7,M3,Main,no,,,,,,,,,
5,7,F,Final,no,,,,,,,,,
5,8,P,Prize,no,,,,,,,,,
5,8,M1,Main,no,,,,,,,,,
5,8,M2,Main,no,,,,,,,,,
5,8,M3,Main,no,,,,,,,,,
5,8,F,Final,no,,,,,,,,,
CoC,1,P,Prize,no,,,,,,,,,
CoC,1,M1,Main,no,,,,,,,,,
CoC,1,M2,Main,no,,,,,,,,,
CoC,1,M3,Main,no,,,,,,,,,
CoC,1,F,Final,no,,,,,,,,,
CoC,2,P,Prize,no,,,,,,,,,
CoC,2,M1,Main,no,,,,,,,,,
CoC,2,M2,Main,no,,,,,,,,,
CoC,2,M3,Main,no,,,,,,,,,
CoC,2,F,Final,no,,,,,,,,,
6,1,P,Prize,no,,,,,,,,,
6,1,M1,Main,no,,,,,,,,,
6,1,M2,Main,no,,,,,,,,,
6,1,M3,Main,no,,,,,,,,,
6,1,F,Final,no,,,,,,,,,
6,2,P,Prize,no,,,,,,,,,
6,2,M1,Main,no,,,,,,,,,
6,2,M2,Main,no,,,,,,,,,
6,2,M3,Main,no,,,,,,,,,
6,2,F,Final,no,,,,,,,,,
6,3,P,Prize,no,,,,,,,,,
6,3,M1,Main,no,,,,,,,,,
6,3,M2,Main,no,,,,,,,,,
6,3,M3,Main,no,,,,,,,,,
6,3,F,Final,no,,,,,,,,,
6,4,P,Prize,no,,,,,,,,,
6,4,M1,Main,no,,,,,,,,,
6,4,M2,Main,no,,,,,,,,,
6,4,M3,Main,no,,,,,,,,,
6,4,F,Final,no,,,,,,,,,
6,5,P,Prize,no,,,,,,,,,
6,5,M1,Main,no,,,,,,,,,
6,5,M2,Main,no,,,,,,,,,
6,5,M3,Main,no,,,,,,,,,
6,5,F,Final,no,,,,,,,,,
6,6,P,Prize,no,,,,,,,,,
6,6,M1,Main,no,,,,,,,,,
6,6,M2,Main,no,,,,,,,,,
6,6,M3,Main,no,,,,,,,,,
6,6,F,Final,no,,,,,,,,,
6,7,P,Prize,no,,,,,,,,,
6,7,M1,Main,no,,,,,,,,,
6,7,M2,Main,no,,,,,,,,,
6,7,M3,Main,no,,,,,,,,,
6,7,F,Final,no,,,,,,,,,
6,8,P,Prize,no,,,,,,,,,
6,8,M1,Main,no,,,,,,,,,
6,8,M2,Main,no,,,,,,,,,
6,8,M3,Main,no,,,,,,,,,
6,8,F,Final,no,,,,,,,,,
6,9,P,Prize,no,Bring in the most pleasing thing the same size as a cat.,,3,2,1,4,5,,https://youtu.be/rISwkaS3wiI?t=133
6,9,M1,Main,no,Make the biggest bubble and burst it with your nose. You have 10 minutes. Your time starts now.,,5,3,4,1,2,,https://youtu.be/rISwkaS3wiI?t=423
6,9,M2,Main,yes,Perform a scene from Taskmaster: The Musical. Best scene wins. You have 1 hour. Your time starts now.,,3,2,2,3,2,,https://youtu.be/rISwkaS3wiI?t=1081
6,9,S1,Special,no,"Make an outfit from things bought at this stationery shop. You have 10 minutes and £50 to do your shopping, then 20 minutes to make your outfit. Your time starts now.","Watch the task and write down what pun you think Tim has gone for his outfit. You get a bonus point if you get the pun right or near to right. Tim, if no-one gets it, you get 2 points.",0,0,0,0,2,,https://youtu.be/rISwkaS3wiI?t=1470
